datetime,liquidityProviderCount,reserve0,reserve1,reserveETH,reserveUSD,token0Price,token1Price,totalSupply,trackedReserveETH,txCount,volumeToken0,volumeToken1,volumeUSD
2021-12-14 00:00:39,0,23939531802.115782162,1326.18240734729609572,2652.36481469459219144,10022308.49981046375957997002520851,18051462.35501718562917565145884551,0.00000005539717394264526690814145050163535,153.068007611998675056,2652.36481469459219144,48866,2906744455114.477658622,120743.833259790395700595,545180372.8919488399519844066703238
2021-12-14 03:48:17,0,24109072037.329595478,1317.413530417597151352,2634.827060835194302704,9957490.699791053221264585785512578,18300306.98841193729866435857066545,0.00000005464389207422677923387611026938714,153.068007611998675056,2634.827060835194302704,48914,2910171420868.195498508,120930.439833596110274079,545884461.0189406623930485435953371
2021-12-14 07:43:12,0,23894604483.284262619,1329.415621362999524848,2658.831242725999049696,9938314.575216133024461505089928046,17973765.38932649891206976660324897,0.0000000556366447619171544541863592651217,153.068007611998675056,2658.831242725999049696,48947,2911243728943.827942711,120989.210404437434793419,546103955.8808033334441629677005339
2021-12-14 11:22:11,0,23521979744.923816859,1350.566146186420656014,2701.132292372841312028,10281353.70353082463371608538403916,17416384.833384564174443751723256,0.00000005741719705705812724877094074520848,153.068007611998675056,2701.132292372841312028000000000001,48970,2911772356765.174661045,121019.265223249114141715,546218116.6021926289784078232233414
2021-12-14 15:02:29,0,23609283924.130205115,1345.682767667007891959,2691.365535334015783918,10235723.43806674851072982392802772,17544464.78129559687352309383965136,0.00000005699803399338315553683192839704459,153.068007611998675056,2691.365535334015783917999999999999,48987,2912423424035.253773605,121056.103853651117593164,546358413.9851437278981881304244558
2021-12-14 18:48:03,0,23840672956.449793113,1332.698106656233691873,2665.396213312467383746,9987649.438040235080647316255359691,17889027.40791500052832419622416802,0.00000005590018826610718816051115060837828,153.068007611998675056,2665.396213312467383746,49008,2912875250582.392963089,121081.55720021263713559,546455041.0651648383729503576350079
2021-12-14 22:29:34,0,24334210279.041462289,1305.902095977816610783,2611.804191955633221566,10069057.45906524383012528646691707,18634023.44937719441707385022835389,0.00000005366527538814614044724767776592869,153.068007611998675056,2611.804191955633221566,49040,2914332669259.396007593,121159.920735688165087642,546756555.8882950198566373754389198
2021-12-15 02:13:42,0,23404756049.394775119,1358.024778520033450831,2716.049557040066901662,10375625.56411693042776550506316205,17234410.16658114711294018562706316,0.000000058023453679840883822396888901149,153.068007611998675056,2716.049557040066901662,49076,2915867302361.951751301,121246.287140111938181044,547088578.3348934293666904369255676
2021-12-15 06:05:07,0,23826980259.58023578,1334.116288892959303717,2668.232577785918607434,10279443.46994772909111095706455817,17859747.65314626602556342184876648,0.00000005599183255110745081190520234334755,153.068007611998675056,2668.232577785918607434000000000001,49105,2916789871847.34783036,121298.871610867638504132,547290376.5422713153445317723164878
2021-12-15 09:50:08,0,23617151202.819842074,1346.172253391015085046,2692.344506782030170092,10437289.98380237081652958801422935,17543929.57017804538055338848241798,0.00000005699977282739692700188430031060562,153.068007611998675056,2692.344506782030170091999999999999,49124,2917977425193.51390047,121366.705893227140071709,547552661.8191252727953622122832594
