datetime,liquidityProviderCount,reserve0,reserve1,reserveETH,reserveUSD,token0Price,token1Price,totalSupply,trackedReserveETH,txCount,volumeToken0,volumeToken1,volumeUSD
2021-12-25 14:52:54,0,65187268.238913213933388904,1118.248432418672646806,2236.496864837345293612,9110484.307645540848968469595277888,58294.08416689563971783236900166254,0.00001715439935786632388277560153694881,242672.029115910155102047,2236.496864837345293612,11995,6689072934.479029811412887959,48336.812378428323064699,201444477.1931799013956366696499908
2021-12-25 18:34:37,0,67535183.319645471337051065,1083.156775059952758077,2166.313550119905516154,8845301.513447438403743953376514077,62350.33087976336300328796773011547,0.00001603840726889491818087615128965603,242672.029115910155102047,2166.313550119905516154,12265,6771287228.243532503238047962,49558.516617387388249184,206425015.1130601351338599758374622
2021-12-25 22:18:32,0,65919151.484819775673642646,1112.227612914136232916,2224.455225828272465832,9158392.829931730768972016086690402,59267.68111079860596856899281111186,0.00001687260208697113034844793189459384,242672.029115910155102047,2224.455225828272465832,12444,6822042137.926131036668397933,50391.915090788499110503,209839634.3204476759741412684265582
2021-12-26 01:59:51,0,65621243.306749175153554574,1118.900241712225024076,2237.800483424450048152,9159274.211190904256900133469176461,58647.98385093797959358149096044267,0.00001705088452045750279047821583627368,242658.731144503143697087,2237.800483424450048152,12666,6856421066.990149559594471427,50972.996856010087373643,212219617.537630596042849264259241
2021-12-26 05:48:38,0,66438478.377038177727566704,1105.638472766895780457,2211.276945533791560914,8898342.866090236675222889552610862,60090.59924513458023134021790215641,0.00001664153815342369162198983454223708,242658.731144503143697087,2211.276945533791560914,12791,6866412199.799875589552735573,51141.154553105614930776,212899711.7912546018883225601963526
2021-12-26 09:29:48,0,64593624.239086029683231242,1139.227330305407084248,2278.454660610814168496,9189488.527369571064566700094520647,56699.50370815770332459820279757004,0.00001763683867758658886611118103088228,242658.731144503143697087,2278.454660610814168496,12922,6905139236.330628651230480679,51809.025647669840699001,215593919.0896493565311637960673256
2021-12-26 13:05:44,0,65954625.639086592280783037,1116.527105304197022892,2233.054210608394045784,9022495.41200139243269997883438755,59071.22659697303184718038024995069,0.000016928715681201762673997628321057,242658.731144503143697087,2233.054210608394045784,13048,6920970022.511631008738668374,52081.042077786742951543,216691991.7245165431190172265173915
2021-12-26 16:52:12,0,65184421.754165941011958919,1135.356302408323840039,2270.712604816647680078,9224407.610145297199956599045685977,57413.18528456344335127966450578177,0.00001741760181121439707062664852463204,242978.94306661875514015,2270.712604816647680078,13281,6971295775.23925347834136025,52979.669665651070070395,220329998.109827794858007948440565
2021-12-26 20:37:44,0,61574112.760731427623786065,1206.662249034411442229,2413.324498068822884458,9834782.887009460904763430650444524,51028.45705996348346987370150147694,0.00001959690842356650340579260067947277,242978.94306661875514015,2413.324498068822884458,13658,7052662001.05662754107791392,54578.866550529845449285,226840826.4099967452248631572925697
2021-12-27 00:19:45,0,61211782.715130465607993382,1217.506567978708112452,2435.013135957416224904,9905639.389088228135341840651696437,50276.34702353486107447652863212772,0.00001989006877392842392952317801317443,242978.94306661875514015,2435.013135957416224904,13960,7115268835.161212928570965403,55829.831409264287933504,231943407.0899603089758419429210523
2021-12-27 04:02:00,0,63900660.514604522279032451,1167.690610505530804605,2335.38122101106160921,9523063.514626167752966584984393904,54723.96535494952044015210117406957,0.00001827352958642195309770768231388197,242978.94306661875514015,2335.38122101106160921,14161,7140414723.571298471177576986,56317.520332774264584639,233928102.7921070530719154552913083
2021-12-27 07:48:12,0,63125585.031030781176069985,1184.145120460048324272,2368.290240920096648544,9629361.518111410760782804716290592,53308.9939234019457454527947843928,0.00001875856073061272273456692874290767,242978.94306661875514015,2368.290240920096648544,14339,7178702535.194798852580202948,57023.098327646401675256,236800141.8990818349233861265025252
2021-12-27 11:21:53,0,64943501.914260419930837177,1151.982064620764811393,2303.964129241529622786,9356843.652916527325757742635371162,56375.44533789245458118867576031166,0.00001773821907758581091423157544143403,242978.94306661875514015,2303.964129241529622786,14482,7197144319.992918501603077564,57353.734498935694562243,238140751.2305241717613484412086226
2021-12-27 15:02:08,0,61187421.292841953020720332,1223.96389775440770237,2447.92779550881540474,10011576.96858260698226314400540419,49991.1977837759771454579603657161,0.00002000352150643082991085396625414759,242659.640697521377156288,2447.927795508815404740000000000001,14706,7273604781.016104632884623559,58867.961176443444939429,244328322.5548822262984893285463818
2021-12-27 18:58:15,0,59522849.067297972447057077,1270.383380903261580471,2540.766761806523160942,10420135.07833285092355614226191321,46854.24098115667782638056746056275,0.00002134278517930039624835470822964747,242659.640697521377156288,2540.766761806523160942000000000001,15377,7461947202.141717634739892302,63046.11393093049372188,261445066.718906858050648243769933
2021-12-27 22:32:01,0,59744120.050224416746855532,1273.491300054701453977,2546.982600109402907954,10356300.28456735909514675767400839,46913.64601207575748545176583905375,0.00002131575959247755027488268425260015,242659.640697521377156288,2546.982600109402907953999999999999,15818,7581119646.650737775364756795,65773.67755619183207757,272584816.5440162788003395837345714
2021-12-28 02:15:05,0,58301644.209413636613185012,1308.803065051016956803,2617.606130102033913606,10431466.86109437338282127442863575,44545.77297856576064587782574014251,0.00002244881911648886106792255516735417,242659.640697521377156288,2617.606130102033913606000000000001,16139,7637685962.747862098146476279,67047.853658906902713844,277715330.0090605531295364586394346
2021-12-28 06:04:52,0,60270107.598506281301673671,1268.013059917444994321,2536.026119834889988642,9937306.877573166343017044623408719,47531.14104552694033026481411517363,0.00002103883849626429239648375473997021,242659.640697521377156288,2536.026119834889988642,16343,7668111627.586480620406386602,67715.87894195422184232,280340192.2752816289584950439392767
2021-12-28 09:46:01,0,57721520.124283243609679275,1355.384043593225497917,2710.768087186450995834,10581717.54357888942120239738004592,42586.83758092587023397922491889713,0.00002348143362605275748569633269346801,245358.639567910077773367,2710.768087186450995833999999999999,16521,7693734787.487797782518931019,68286.071832914500438384,282574501.7356652806032806212219368
2021-12-28 13:27:53,0,60182389.517381192478863074,1301.451440788206389179,2602.902881576412778358,10173340.39862200191804552635565733,46242.51634078067918334734870701482,0.00002162512075749893584591309314345774,245358.639567910077773367,2602.902881576412778358,16688,7716601437.423404141785765838,68788.188436263468344548,284535384.9723476265543472462042443
2021-12-28 17:10:03,0,60669904.45986517500123873,1293.192197808175254465,2586.38439561635050893,9981881.079887223096845471865212401,46914.83954410974737306831300412158,0.00002131521731114077773203354664089234,245358.639567910077773367,2586.38439561635050893,16855,7751109530.673803426474833404,69528.41417382218609907,287412596.2972337435684407408550362
2021-12-28 20:52:16,0,62361180.491810392965532351,1260.162572347618057227,2520.325144695236114454,9659245.929474187386238049934605075,49486.61534649035099262218980984252,0.00002020748424595825943924512393369745,245358.639567910077773367,2520.325144695236114454,17019,7785316779.825211980317191319,70208.579641306250364616,289998944.4369541888828435712746322
2021-12-29 00:35:38,0,58556357.414658809478105743,1352.02033150481313099,2704.04066300962626198,10287984.69163262745843366795685525,43310.2639436530925456230586917467,0.00002308921509462528019065073800186779,246157.389561126681072868,2704.04066300962626198,17165,7803657202.599858467639366558,70603.969136512822008455,291505107.1400526141288202508814736
2021-12-29 04:19:19,0,64151360.828195296632443721,1249.817217747455197099,2499.634435494910394198,9537976.026659110476931501453247953,51328.59422741451329948914628574618,0.0000194823180929023326249065863022118,247549.458323639780144605,2499.634435494910394198,17304,7831915459.559846584183100161,71202.718903545925650837,293788317.3350309587339331715227986
2021-12-29 07:58:07,0,64206934.99971451850770632,1250.726275267530003712,2501.452550535060007424,9491132.35163880326636770920043568,51335.72090822244291827272424955875,0.00001947961346033868573281003903564863,247549.458323639780144605,2501.452550535060007424,17432,7865304873.415312898503960112,71888.199409661435441352,296397224.8438572215131050997011881
2021-12-29 11:39:47,0,63653354.608380966594352207,1262.259718667355939509,2524.519437334711879018,9558894.483148934707378470089278769,50428.09626816236326386707704403527,0.00001983021517771130272128321510206169,247549.458323639780144605,2524.519437334711879018,17503,7876262877.004276933507637645,72108.977111566090993291,297236709.6198739562060677227533984
2021-12-29 15:19:47,0,63702876.67233383499078494,1262.574085157744018976,2525.148170315488037952,9552271.767978391887037647386390591,50454.76334513463251088385303895126,0.00001981973422726261366068316045068013,247549.458323639780144605,2525.148170315488037952,17630,7898365758.350652383955017262,72536.758871375763082522,298838868.1068359542001982037203128
2021-12-29 18:59:09,0,59443087.133002705054078442,1358.77045424252747451,2717.54090848505494902,10203125.00414901174519404396282402,43747.70362970571700196386095469584,0.00002285834265643549212292844636554881,247549.458323639780144605,2717.540908485054949020000000000001,17861,7982682734.79855399462144336,74462.536274439911346256,306087449.0493011590389383013871248
