datetime,liquidityProviderCount,reserve0,reserve1,reserveETH,reserveUSD,token0Price,token1Price,totalSupply,trackedReserveETH,txCount,volumeToken0,volumeToken1,volumeUSD
2022-01-11 04:14:24,0,809.134259721236416536,971334.700237848193275301,1618.268519442472833072,5045499.859139999804900762593108944,0.0008330128219686847611390680926725208,1200.461713946574456588185255393847,23588.543251893824323552,1618.268519442472833072,20110,32247.842931623133625536,41091378.192100232089240204,93745147.38143414045513100775250143
2022-01-11 08:03:45,0,918.380164893230065479,1008640.105735935054065579,1836.760329786460130958,5752848.07017459214521890600405419,0.0009105132342751247821791805960161559,1098.281674945798199578010354778322,25295.8727817176525844,1836.760329786460130958,23882,39714.277309904624637054,48731179.711672813151316677,116992190.0945338731246377141710221
2022-01-11 11:42:45,0,901.123215428840776049,924054.292885065591185131,1802.246430857681552098,5599340.704862530410531725680603526,0.0009751842747414442282689169652668783,1025.447216389061745692079333970361,23805.910564632769277684,1802.246430857681552098,25901,44163.524061906706792084,53473680.18449641751116067,130839037.8601304684123600849509546
2022-01-11 15:18:14,0,1171.711389403148793616,1166283.481653381261270125,2343.422778806297587232,7362295.376648002784603883716078149,0.001004654020943581110596027036325316,995.3675386286614295830258125644055,30306.897755883385561146,2343.422778806297587232,27928,48238.318941448106848819,57716612.952597572623237342,143543215.230385387771095999654845
2022-01-11 18:53:34,0,1564.218340379328359347,1391900.654318902580048597,3128.436680758656718694,10146748.99140687189031202002239589,0.001123800276640250469820597606590472,889.8378304280474398142089101976598,38038.129943619584809064,3128.436680758656718693999999999999,29759,53310.067751658906256477,62576940.742361508705428311,159786987.6982928633340875229431382
2022-01-11 22:40:10,0,1247.136963366222605997,1338745.052067417660351918,2494.273926732445211994,8066116.363649624013638136130497826,0.0009315716696321490670056800406368092,1073.454713790159932616736864739759,32995.340945929337110844,2494.273926732445211994,32609,63147.209021719610682628,71552796.504177484445600488,191613824.270349432624050048563072
2022-01-12 02:15:58,0,1103.628499636353915954,1391126.406647798841028624,2207.256999272707831908,7140826.175940035474359413496228776,0.0007933344477988672296986147513718906,1260.502430941368054531861073229364,31345.674954611076818653,2207.256999272707831908,34570,71299.612026295664489742,79914482.198584050505495208,218000913.2277312920824492161840159
2022-01-12 06:02:52,0,1279.518131715647751361,1193688.846883490644576765,2559.036263431295502722,8263697.044278189348453997348494786,0.001071902560752110661037903965861607,932.9206185479587406601627111370329,30958.424773513617049058,2559.036263431295502722,36697,79359.840628566505342526,87492796.348317373366877217,244042564.13847414594005795575701
2022-01-12 09:45:55,0,1718.556499784823636464,1488988.874857838319962488,3437.112999569647272928,11199551.16775486538511227329856122,0.001154176857062752303991832185597416,866.4183429781162669399614611143412,39852.873742042734376665,3437.112999569647272927999999999999,38293,84726.482619801093512479,92087643.715406193322851785,261380097.2288074309437333399989423
2022-01-12 13:37:16,0,1839.037381085640561878,1492080.805591468716382885,3678.074762171281123756,12289025.13328416030925827827373933,0.001232532027886141478405648198172407,811.3379428484739860132299485993758,41071.640847571505017186,3678.074762171281123755999999999999,39929,90865.700250383233566074,96879724.082557000577677647,281541328.3751034603007337724444285
2022-01-12 17:13:48,0,1787.939229487671951981,1432934.37305359408786685,3575.878458975343903962,12037002.01621450288855491647803275,0.001247746765734678975547638504579527,801.4446740811188942557366927719916,39425.640953018841540768,3575.878458975343903961999999999999,41830,99068.365515818178304246,103085333.204841456759136552,309139043.7190193756671927698653967
