datetime,liquidityProviderCount,reserve0,reserve1,reserveETH,reserveUSD,token0Price,token1Price,totalSupply,trackedReserveETH,txCount,volumeToken0,volumeToken1,volumeUSD
2022-01-11 04:14:24,0,1643425278339.762669185235887835,2015.544829785830741357,4031.089659571661482714,12569549.28066678134702592534696824,815375204.7848972787719644242854671,0.00000000122642924892940332768442534691024,2903611.472051184163704228,4031.089659571661482714,55905,47855474245656.246263420440460404,65671.231299491943305469,239673880.6822379661649922622975194
2022-01-11 08:03:45,0,1743773337451.902941046114989208,2049.879619531073665406,4099.759239062147330812,12822606.86202016065777590699491647,850671093.4814821071578126720105196,0.000000001175542471894007727354348198367312,3016001.606619412624592895,4099.759239062147330812000000000002,56085,47996024043536.229445359357725369,65841.972471568322759426,240205601.9046258460435980229489009
2022-01-11 11:42:45,0,1776793579548.201121722140777042,2033.280140247750732519,4066.560280495501465037999999999999,12649092.77900007101716108960095135,873855768.5079748602464273878771623,0.000000001144353606210558464623759699695261,3031120.438760586989199896,4066.560280495501465037999999999999,56230,48419615231181.984625714893655308,66331.202015255559377294,241727060.9218298249530768234724795
2022-01-11 15:18:14,0,1801143732440.950704508147184415,1994.866031096383114861,3989.732062192766229721999999999999,12527690.29346027972815206206901299,902889569.7076148144628060387110207,0.000000001107555157962266327158340532981517,3021529.4944532778232312,3989.732062192766229722000000000001,56445,49084581496243.906507913537043825,67055.483375069420073932,243985646.2253372495718227328299046
2022-01-11 18:53:34,0,1841626673359.017516154216935906,1970.165348082876548412,3940.330696165753096824,12788156.31992797387367989476380849,934757417.7726061842027227809477809,0.000000001069796271189650036274452230460774,3035910.46032217697141408,3940.330696165753096824,56571,49278884176080.48964781397925297,67269.296094162418288753,244669621.9668029814651245220807326
2022-01-11 22:40:10,0,1671294446701.385733967445014823,1813.941380912747123461,3627.882761825494246922000000000001,11751891.00735191515324119321364952,921360780.6115632754320093490441495,0.000000001085351168666240692702932946822977,2774786.554937630971811204,3627.882761825494246922000000000002,56719,49415657239323.453245575722356941,67417.51130396057809958,245149288.2919701046812381354585844
2022-01-12 02:15:58,0,1638643531090.942463077867826753,1853.824214438686509783,3707.648428877373019566,11995951.91941601772806474046147573,883926058.5379191867388265275745472,0.00000000113131634749412855346732939072613,2777126.313988276918800202,3707.648428877373019566,56828,49632000805910.769717955083074852,67659.101668586713899181,245931677.0971738165314014490763197
2022-01-12 06:02:52,0,1657130653607.556426768173896753,1824.544554897778259029,3649.089109795556518058000000000001,11785715.01023199198710329804579449,908243456.7899048396473700695345161,0.000000001101026374067586938434949146429709,2770249.219674247607309585,3649.089109795556518058,56956,49810089699214.841573449825931057,67855.259841567678193067,246564918.2622665170776655423365259
2022-01-12 09:45:55,0,1772156646049.557963838243047163,1898.053075153404757128,3796.106150306809514256000000000001,12365852.84311212200271742899416624,933670754.1259500494020880190150705,0.000000001071041366114271891423331028414998,2921264.855846227473633551,3796.106150306809514255999999999999,57120,50115272328768.924697797721679269,68179.972495394945024758,247611987.3325471260680801765963189
2022-01-12 13:37:16,0,1785692558699.964698348423445041,1915.278804974624272864,3830.557609949248545728000000000001,12790954.38609125816060099389687516,932340792.4015655380753652700053878,0.000000001072569180872323325052961652190864,2945288.200812880385681225,3830.557609949248545728,57257,50302408246218.555879552025570773,68377.33495905000138446,248257401.8732806864210806518850013
2022-01-12 17:13:48,0,1742491044409.138245087525090845,1926.000995456592307454,3852.001990913184614908,12969108.34877547260445931909418215,904719700.8307102091014955866342911,0.000000001105314716902708961017197084046778,2916859.149312965608133998,3852.001990913184614907999999999999,57391,50636321307020.668911906113011254,68746.085298611227739137,249496645.9801384320330429085209001
2022-01-12 20:54:57,0,1778434200216.66690763754028477,1890.319879762522144852,3780.639759525044289704,12808475.87214130760337134559747864,940811245.3645087540876005499838436,0.000000001062912465095545389281398887484109,2919198.504140356070872017,3780.639759525044289704000000000001,57439,50726804274107.41980376597354266,68843.794501982329634231,249826647.3928494173395378952439207
2022-01-13 00:37:57,0,1766309741288.455559717313510336,1903.367993183828881446,3806.735986367657762891999999999999,12854943.32399044974747781431580106,927991721.8392901069974277119159107,0.000000001077595819516567098057073721334423,2919157.439310564443393555,3806.735986367657762892,57484,50770318008176.985889831120803952,68890.223471077360239427,249983500.4517686889911287563269008
2022-01-13 04:20:12,0,1774397885579.539243689284154557,1865.917915774490869554,3731.835831548981739108000000000001,12479004.64596164831094104387775221,950951738.3260859066081832503048365,0.000000001051578076675322517259059698459348,2896690.515114816354817318,3731.835831548981739108,57556,50882853955318.910402890117238946,69009.995199106050359898,250382842.5040508315788962115424659
2022-01-13 08:07:22,0,1763470421732.679255062699939444,1872.902312773610067462,3745.804625547220134924,12529886.58650206050961012153960632,941570956.3202624120758316836123768,0.0000000010620548491725819039039637793232,2892830.328111195255672861,3745.804625547220134924,57672,51041075118767.924761000915961035,69179.892945896908752472,250950710.2823798018444416995258555
2022-01-13 11:59:49,0,1786081819436.47803027129121698,1852.444947085058094634,3704.889894170116189268,12379843.33582760358167014924393047,964175384.6704018185098716600091121,0.000000001037155704137629103657190055519958,2895287.973361223752036786,3704.889894170116189268000000000001,57760,51083856721848.509166938500197671,69224.742188919144717137,251101035.0232851314959281624197297
2022-01-13 15:28:51,0,1779795532882.814538494546413487,1848.032188810933894708,3696.064377621867789415999999999999,12263853.64862870842736892817222267,963076045.784665483210949087258977,0.000000001038339603997990369381320624636483,2886622.411555571318354592,3696.064377621867789415999999999999,57852,51144152178572.201518182127430066,69287.327081456656971813,251311696.7389673707306107217751426
2022-01-13 19:17:51,0,1758275716539.70827472880509434,1710.4267553946542043,3420.8535107893084086,11215770.86059482109327578743682242,1027974867.087491081439493176725448,0.0000000009727864289457281676147005978799653,2760000.581203751931946564,3420.8535107893084086,57942,51262020407568.248396919433485067,69405.52419840810518407,251699735.5623491250037510240078074
2022-01-13 22:59:55,0,1779912440768.066430993825094865,1717.38128441897218153,3434.76256883794436306,11181555.10511083953022028716541907,1036410759.169446704103850335382799,0.0000000009648684087391900842330193686742694,2782184.767554706857350447,3434.76256883794436306,58048,51461659084004.888886810536169954,69597.737386153701511629,252326755.4173744866761787732238365
2022-01-14 02:46:28,0,1774458696186.279387654469296558,1722.445815073092562289,3444.891630146185124578,11231120.74493376331087690456542181,1030197107.309863121249172943732939,0.0000000009706880294114624973872647883977685,2781674.623584328043459426,3444.891630146185124578,58097,51612273830247.709593552907984079,69742.389194207557438774,252797694.2251627780849044715001705
2022-01-14 06:15:19,0,1785782929188.38761355999803258,1699.670961318409866519,3399.341922636819733038,11195146.56388167157557022027466265,1050663904.855550367821228501876936,0.0000000009517791516188843932606317523340148,2771920.913920564011229316,3399.341922636819733037999999999999,58168,51689678874040.132809380963612905,69817.205180767365738439,253042604.991824147451445200460668
2022-01-14 10:05:11,0,1776332380244.652280617207276302,1696.738209251996176477,3393.476418503992352954,11081220.54187716511311312522796832,1046910107.026908437193860293373741,0.0000000009551918481710648726647564629312906,2761966.817303416408356708,3393.476418503992352953999999999999,58271,51805379101022.857611952332822385,69926.093924057837789233,253398771.426257836459212534544484
2022-01-14 13:55:16,0,1784937436620.655419654106267586,1619.720916843658119116,3239.441833687316238232,10440580.0807245803765506371639915,1102003078.467958473417519702530149,0.0000000009074384813790479027441957511739212,2704842.152097432075407301,3239.441833687316238232000000000001,58382,51933635832967.6339977959764404,70044.038273937797045291,253778453.733156535975224576747107
2022-01-14 17:32:40,0,1740353187468.878311739304073352,1676.162612395170912457,3352.325224790341824914,11041969.9012588218018296099945254,1038296150.146185145123285816147277,0.0000000009631163515912167220999792952161852,2716788.947955983610165701,3352.325224790341824914,58450,52028985398389.972426811760650316,70132.544963097491813138,254067667.0139081657343495708421725
2022-01-14 21:17:22,0,1789716525169.464223690102798229,1623.646857581557586508,3247.293715163115173016,10740406.43632802252241085576454026,1102281888.954147021576410314255439,0.0000000009072089544615553713543895995314828,2711387.143433192312341196,3247.293715163115173016000000000001,58524,52115865480056.30351923447839586,70213.233689365814141456,254333359.2863399595405621689927751
2022-01-15 01:06:50,0,1795035317840.153039430132289549,1605.32556018129027785,3210.6511203625805557,10630141.85741224776192543884795159,1118175255.141043625282224902581514,0.0000000008943141921646823459670898093611943,2699872.867209030885442519,3210.6511203625805557,58575,52205426417829.441126289453953693,70294.167851605881308488,254601750.0489770684086775330186886
